reservation_no,trip_ids,person_no,vehicle_no,distance_to_station_origin,distance_to_station_destination,reservationfrom_sec,reservationto_sec,distance,start_station_no,end_station_no,drive_km,duration,reservationfrom,reservationto
39108,"[39104, 39105, 39107, 39108]",615202,1,322.67229048021574,35738.78535618494,62266.09456721328,94365.85564467018,54376.25898840313,103,103,54.37625898840313,8.916600299293584,2019-01-01 17:17:46.094567213,2019-01-02 02:12:45.855644670
59897,"[59896, 59897]",889826,2,727.2980079326344,17328.964040121893,60907.06617383348,69054.58577592025,25931.830093112832,50,50,25.931830093112836,2.263199889468548,2019-01-01 16:55:07.066173833,2019-01-01 19:10:54.585775920
227682,"[227681, 227682]",3415011,3,1484.5556916298167,4625.990095261149,57740.32373058666,63422.861571531685,14804.086227690892,221,221,14.804086227690892,1.578482733595839,2019-01-01 16:02:20.323730587,2019-01-01 17:37:02.861571532
227887,"[227884, 227885, 227886, 227887]",3418286,4,76.04682509145812,8472.352674566426,56802.13250101312,68961.42239523219,12931.846826568117,11,11,12.931846826568115,3.377580526171965,2019-01-01 15:46:42.132501013,2019-01-01 19:09:21.422395232
228209,"[228207, 228208, 228209]",3420633,5,2590.450143422692,2590.450143422692,58679.26531766823,61847.0,13448.044971917896,213,213,13.448044971917897,0.8799263006477142,2019-01-01 16:17:59.265317668,2019-01-01 17:10:47.000000000
228285,"[228283, 228284, 228285]",3421074,6,596.8279382751793,596.8279382751793,39487.52972734519,59491.0,23295.79224493945,101,101,23.29579224493945,5.556519520181893,2019-01-01 10:58:07.529727344,2019-01-01 16:31:31.000000000
228365,"[228363, 228364, 228365]",3422027,5,783.7740828867703,2233.5710231892544,64251.76086362069,84010.30126135626,3381.487245139899,213,213,3.3814872451398994,5.488483443815436,2019-01-01 17:50:51.760863621,2019-01-01 23:20:10.301261356
228739,"[228738, 228739]",3426170,7,139.337964134021,7246.5892016730595,68707.45526334208,73987.12394233714,14552.254223016009,60,60,14.552254223016009,1.4665746330541838,2019-01-01 19:05:07.455263342,2019-01-01 20:33:07.123942337
228925,"[228923, 228924, 228925]",3431277,8,2479.5628706357884,2479.5628706357884,22793.54356157599,59393.0,18796.183683327625,158,158,18.796183683327623,10.166515677340003,2019-01-01 06:19:53.543561576,2019-01-01 16:29:53.000000000
229237,"[229233, 229234, 229235, 229236, 229237]",3437581,9,569.0770466075193,15317.627220034072,38357.85168630587,65657.84776527672,29646.181629859017,227,227,29.64618162985901,7.583332244158569,2019-01-01 10:39:17.851686306,2019-01-01 18:14:17.847765277
230101,"[230100, 230101]",3449502,10,404.1361205426117,9718.0362408581,61948.6213066034,73872.58876940656,25855.08217178197,21,21,25.85508217178197,3.312213184111988,2019-01-01 17:12:28.621306603,2019-01-01 20:31:12.588769407
230983,"[230982, 230983]",3456638,11,169.90384012959623,2611.1948160034804,64917.72223190469,79578.44526818625,13875.783607370002,153,153,13.875783607370002,4.072423065633765,2019-01-01 18:01:57.722231905,2019-01-01 22:06:18.445268186
231314,"[231309, 231311, 231312, 231314]",3458641,12,3945.6431564969776,3945.6431564969776,21421.5096414053,61201.0,17001.31363066931,68,68,17.00131363066931,11.049858432942974,2019-01-01 05:57:01.509641405,2019-01-01 17:00:01.000000000
231331,"[231329, 231330, 231331]",3458757,13,5065.352640030888,5065.352640030888,59029.123864509966,64813.0,32367.005840543665,24,24,32.36700584054366,1.606632259858343,2019-01-01 16:23:49.123864510,2019-01-01 18:00:13.000000000
231365,"[231364, 231365]",3458984,14,483.0111611516696,483.0111611516696,41705.511027379136,46122.0,31013.58257280187,21,21,31.013582572801877,1.2268024923946843,2019-01-01 11:35:05.511027378,2019-01-01 12:48:42.000000000
231479,[231479],3459760,15,431.2741353709269,4316.704179377358,60957.0244986411,69966.08508363306,12263.548629984716,45,45,12.263548629984715,2.5025168291644357,2019-01-01 16:55:57.024498641,2019-01-01 19:26:06.085083633
